Match_ID,Date,Year,Format,Opponent,Venue,City,Innings_No,Runs,Balls_Faced,Fours,Sixes,Strike_Rate,Dismissed,Dismissal,Data_Source
1278688,2022-06-12,2022,T20I,South Africa,"Barabati Stadium, Cuttack",Cuttack,1,9,12,1,0,75.0,1,bowled,Raw JSON
1278689,2022-06-14,2022,T20I,South Africa,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam,1,31,21,4,0,147.62,0,Not Out,Raw JSON
1278690,2022-06-17,2022,T20I,South Africa,"Saurashtra Cricket Association Stadium, Rajkot",Rajkot,1,46,31,3,3,148.39,1,caught,Raw JSON
1303307,2022-06-26,2022,T20I,Ireland,"The Village, Malahide, Dublin",Dublin,1,24,12,1,3,200.0,1,lbw,Raw JSON
1303308,2022-06-28,2022,T20I,Ireland,"The Village, Malahide, Dublin",Dublin,1,13,9,2,0,144.44,0,Not Out,Raw JSON
1276904,2022-07-07,2022,T20I,England,"The Rose Bowl, Southampton",Southampton,1,51,33,6,1,154.55,1,caught,Raw JSON
1276905,2022-07-09,2022,T20I,England,"Edgbaston, Birmingham",Birmingham,1,12,15,1,0,80.0,1,caught,Raw JSON
1276908,2022-07-14,2022,ODI,England,"Lord's, London",London,1,29,44,2,0,65.91,1,caught,Raw JSON
1276909,2022-07-17,2022,ODI,England,"Old Trafford, Manchester",Manchester,1,71,55,10,0,129.09,1,caught,Raw JSON
1317903,2022-07-29,2022,T20I,West Indies,"Brian Lara Stadium, Tarouba, Trinidad",Tarouba,1,1,3,0,0,33.33,1,caught,Raw JSON
1317904,2022-08-01,2022,T20I,West Indies,"Warner Park, Basseterre, St Kitts",Basseterre,1,31,31,1,2,100.0,1,caught,Raw JSON
1317905,2022-08-02,2022,T20I,West Indies,"Warner Park, Basseterre, St Kitts",Basseterre,1,4,6,0,0,66.67,1,caught,Raw JSON
1317907,2022-08-07,2022,T20I,West Indies,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",Lauderhill,1,28,16,2,2,175.0,0,Not Out,Raw JSON
1327270,2022-08-28,2022,T20I,Pakistan,Dubai International Cricket Stadium,Dubai,1,33,17,4,1,194.12,0,Not Out,Raw JSON
1327276,2022-09-04,2022,T20I,Pakistan,Dubai International Cricket Stadium,Dubai,1,0,2,0,0,0.0,1,caught,Raw JSON
1327277,2022-09-06,2022,T20I,Sri Lanka,Dubai International Cricket Stadium,Dubai,1,17,13,0,1,130.77,1,caught,Raw JSON
1327503,2022-09-20,2022,T20I,Australia,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chandigarh,1,71,30,7,5,236.67,0,Not Out,Raw JSON
1327504,2022-09-23,2022,T20I,Australia,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",Nagpur,1,9,9,1,0,100.0,1,caught,Raw JSON
